"Menu","Category","Sub-category","Order","Page name","Data source","Page key","What this page records and what users do with it"
"deep","Command Center","Third Party","1","Third Party Stock","v_third_party_stock","third_party_stock","Every pound bought in from another licence, by supplier, with what it is, where it is held, its testing state and how long it has been sitting."
"deep","Command Center","Third Party","2","Third Party — Receipt to Sale Clock","v_third_party_lifecycle","third_party_lifecycle","Every purchased package from the inbound manifest that brought it in, through testing and processing, to the outbound manifest that sold it. Days at every stage, what it became, recovery percentage, and whether it is still sitting."
"deep","Command Center","Third Party","3","Third Party — Cycle Time by Supplier","v_third_party_cycle_time","third_party_cycle_time","By supplier: how long material takes from arriving to being tested, processed and sold, average recovery, and how much is still sitting untouched."
"deep","Command Center","Third Party","4","Third Party — Receipt to Sale","v_third_party_chain","third_party_chain","Every purchased package from the moment it arrived: supplier, inbound manifest, received date, quantity in, quantity left, how much has been drawn, what it became, its testing state and how long it has been sitting."
"deep","Command Center","Third Party","5","Third Party — What It Became","v_third_party_downstream","third_party_downstream","Purchased material traced forward into the vapes, pre-rolls and concentrates made from it, with the child package tag, quantity and testing state."
"deep","Command Center","Third Party","6","Remediation Yield","v_remediation_yield","remediation_yield","Material bought for remediation traced through to what came out: how much went in, what it became, the recovery percentage, and whether the output passed testing."
"deep","Cultivation","Discipline & Alerts","1","Cycle Enforcement","v_harvest_enforcement","harvest_enforce","Live policing of the 8-week cycle: 56-day room cycles, 13-15 day facility cadence, overdue weight reporting, overlaps."
"deep","Cultivation","Discipline & Alerts","2","Schedule Discipline","v_schedule_discipline","schedule_discipline","The single number that matters: how many schedule violations, how many acceptable early finishes, the violation rate, the average and worst days late, and how many upcoming events land on a weekend and need a crew planned."
"deep","Cultivation","Discipline & Alerts","3","Schedule Compliance (pulls & drying)","v_schedule_compliance","schedule_compliance","Every scheduled pull and every drying batch against the every-other-week timeline: scheduled date, what actually happened, days off schedule, and whether it was on schedule, late, missed entirely, or has blown the drying deadline."
"deep","Cultivation","Discipline & Alerts","4","Schedule Scorecard","v_schedule_scorecard","schedule_scorecard","The honest count: how many pulls and dries were on schedule, late, missed or early, the percentage on schedule, and the average number of days late."
"deep","Cultivation","Discipline & Alerts","5","Late Violations (zero tolerance)","v_late_violations","late_violations","The hard rule enforced: a pull or dry may run EARLY but never late. Every late or missed event is listed as a violation with how many days it slipped and why it matters to the next cycle."
"deep","Cultivation","Discipline & Alerts","6","Harvest Alerts","v_harvest_alerts","harvest_alerts","Live alerts against the harvest plan: drying past target or limit, weights not reported, curing beyond plan, waste above limit, yield below floor, and planned pulls that never happened."
"deep","Cultivation","Discipline & Alerts","7","Harvest Alert Rules","harvest_alert_rules","harvest_alert_rules","The thresholds behind every harvest alert - dry target and limit, reporting deadline, waste ceiling, yield floor, overdue pull tolerance. Change a number here and the alerts change immediately."
"deep","Cultivation","Harvests","2","Harvest Stage Map","v_harvest_stage_map","harvest_stage_map","Every harvest and exactly where it stands right now: room, days since takedown, drying or curing or packaging, wet and waste and packaged weights, waste percentage, yield percentage, laboratory state, and packages produced."
"deep","Cultivation","Harvests","3","Harvest Detail by Cultivar","harvest_pull_details","harvest_detail","Per-cultivar projections for every pull: g/sqft, plants, fresh-frozen split, dry targets."
"deep","Cultivation","Harvests","4","Harvest Lifecycle & Deadlines","v_harvest_lifecycle","harvest_lifecycle","Every harvest milestone by milestone: planned pull date versus actual takedown and how many days late, plants against plan, day count in drying with the target and deadline dates, whether weights were reported and how late, waste and yield against projection, packages made, the allocation chain from requester to approver, what shipped, and a plain verdict naming anything blocking a room or missing weights."
"deep","Cultivation","Harvests","5","Harvest Lineage","v_harvest_lineage_summary","harvest_lineage","One line per harvest showing its whole life: room, stage, plants, wet and waste and packaged weight, waste and yield percentages, packages made, packages that passed testing, packages shipped, and quantity still on hand."
"deep","Cultivation","Harvests","6","Seed to Sale Chain","v_seed_to_sale_chain","seed_to_sale_chain","Harvest through package through laboratory result through transfer to the customer - the whole chain on one line per package."
"deep","Cultivation","Rooms & Plants","5","Room Yield Planner","v_room_yield","room_yield","Live per-room yield math from the harvest calendar: g/sqft averages and bests, projected pounds, fresh-frozen splits, and cycle/cadence violations - the tool for squeezing every room to its fullest."
"deep","Cultivation","Rooms & Plants","6","Supply Forecast","v_production_forecast","plan_production","Cultivation planning: monthly forward flower supply computed live from the harvest calendar - events, plants, projected pounds, fresh-frozen splits by availability month."
"deep","Cultivation","Schedule & Calendar","4","Harvest SOP - 2-Day Plan","harvest_sop_steps","harvest_sop","Hour-by-hour 2-day harvest and replant operation: roles, goals, completion checks."
"deep","Cultivation","Schedule & Calendar","6","Weekend Watch","v_weekend_watch","weekend_watch","Every scheduled pull and drying deadline that lands on a Saturday or Sunday, with how many days away it is and a direct instruction to plan a weekend crew or second shift before it becomes late."
"deep","Cultivation","Yield & Performance","1","Plan vs Actual (Metrc)","v_harvest_reconciliation","harvest_recon","Every scheduled harvest reconciled against what Metrc actually recorded: wet weight vs projection, waste, packages, restored weight - past events with no Metrc record flag MISSING IN METRC, unplanned Metrc harvests flag the reverse. Destroyed/waste detail deepens with worker v12."
"deep","Cultivation","Yield & Performance","2","Plan vs Actual Harvests","v_harvest_plan_vs_actual","harvest_plan_actual","Every planned pull against what Metrc actually recorded: planned versus actual plants and pounds, timing variance, packaged and waste weight, and pulls that never happened."
"deep","Cultivation","Yield & Performance","3","Yield Versus Industry","v_yield_versus_industry","yield_versus_industry","Our conversion, grams per plant and plants per saleable pound each month measured against state-of-the-art indoor industry bands and our own best month, with a verdict, a plain English explanation, and what the gap is worth in dollars."
"deep","Cultivation","Yield & Performance","4","Loss & Destruction Ledger","v_loss_ledger","loss_ledger","Every recorded loss with its reason: harvest waste, package adjustments, and failed laboratory tests, with room, date, and amount."
"deep","Cultivation","Yield & Performance","5","Loss Analysis - the why","v_loss_analysis","loss_analysis","Why material is being lost: waste and yield percentages by room, strain and month, how far each runs from the company average, a verdict naming anything severe or high, and the estimated margin lost."
"deep","Cultivation","Yield & Performance","6","Loss Ranking (worst first)","v_loss_ranking","loss_ranking","The short answer: which rooms and which strains lose the most material all time, ranked worst first, with pounds wasted and the verdict."
"deep","Inventory","Allocation Control","3","Awaiting Allocation Approval","v_awaiting_allocation","awaiting_allocation","Everything in production with no approved allocation: awaiting approval, denied, or never requested - ranked by how long it has been sitting."
"deep","Inventory","Custody & Reconciliation","1","Custody & Compliance Check","v_custody_compliance","custody_compliance","The Cannabis Control Commission custody proof: for every category of tracked inventory, how many items have a known location, how many do not, and the quantity at risk. This is the report that proves seed to sale custody."
"deep","Inventory","Custody & Reconciliation","2","Custody Red Flags","v_custody_alerts","custody_alerts","Live chain of custody red flags: lineage breaks, holds, failed testing left in inventory, unexplained quantity loss, transfers never received, investigations, unlocated items, and stale Metrc data."
"deep","Inventory","Custody & Reconciliation","3","Custody Alert History","custody_alert_log","custody_alert_log","Every custody red flag ever raised, when it was raised, and when it cleared - the permanent audit record a regulator would ask for."
"deep","Inventory","Custody & Reconciliation","4","In Stock vs Sold vs Missing","v_inventory_reconciliation","inventory_reconciliation","Per item: how much was packaged originally, how much is in stock and sellable, on hold, in transit, closed or sold, failed testing, and anything reduced with no recorded reason - the unaccounted column."
"deep","Inventory","Custody & Reconciliation","5","Sheet vs Metrc Check","v_fg_metrc_check","fg_metrc_check","Every finished-goods sheet row cross-checked against synced Metrc packages by tag: rows whose tag is missing from Metrc, packages Metrc calls finished that the sheet still lists, quantity side-by-side. The spreadsheet says what the crew recorded; Metrc says what the state believes; this screen shows where they disagree."
"deep","Inventory","Custody & Reconciliation","6","Inventory Aging & Action","v_inventory_aging","inventory_aging","Everything that has sat too long, with the action to take: past the dry limit, waiting on a laboratory, failed testing, on hold, or cash sitting on the shelf more than 60 and 90 days."
"deep","Inventory","Purchasing & Third Party","1","3rd Party Material","third_party_material","third_party","Third-party material on site: company, Metrc tag, product, weights, vault location, and physical inventory confirmations."
"deep","Inventory","Purchasing & Third Party","2","Third-Party Purchases","third_party_purchases","third_party_purchases","Trim, flower, concentrate and any other material bought from a third party: vendor, quantity, cost, Certificate of Analysis, manifest, location, intended use and status - each one enters the production tracker and needs an approved allocation like anything grown."
"deep","Inventory","Purchasing & Third Party","4","Material Purchases & Aging","v_material_aging","materials","Everything we buy - trim, flower, concentrates, packaging: purchase and received dates, landed cost, allocation, days purchase-to-production/sale/cash, ROI, and CAPITAL TIED UP alerts when unallocated material sits past the admin-set threshold. Exact Sheet-13 math."
"deep","Inventory","Stock & Location","3","Inventory Summary","v_inventory_summary","inv_summary","Weekly-style roll-up per batch: ending units and cases, LOW flags against Config thresholds, expiring-within-30-days flags, and possible cases from bulk plus filled."
"deep","Inventory","Stock & Location","6","Batch Genealogy","custom screen","genealogy","Seed-to-sale trace: harvest → lot → work order → test → shipment, one click."
"deep","Inventory","Stock & Location","7","Production Tracker (everything)","v_production_tracker","production_tracker","Every material in the company seed to sale: seeds and clones, living plants, harvest lots, trim, bulk and fresh frozen flower, concentrates, vapes, pre-rolls, packaged flower, and everything bought from a third party - with where it sits, its stage, how long it has been in the system, its cost where purchased, its Certificate of Analysis, and whether its allocation has been approved and by whom."
"deep","Inventory","Value & Margin","1","Inventory Value","v_inventory_value","inv_value","Live inventory valuation using the company's own per-unit values and formulas, with 0-90 / 91-180 / 181-270 / 271+ day aging buckets."
"deep","Inventory","Value & Margin","2","Margin by Route","v_route_margin","route_margin","What every gram earns by product route: contribution per unit, gross margin percentage, margin per input gram, and open demand still uncovered - ranked highest earning first."
"deep","Inventory","Value & Margin","3","Product Economics","product_economics","product_economics","The inputs behind every margin: grams per unit, sell price, packaging, labor, other cost, yield percentage, and cycle days per product route."
"deep","Inventory","Value & Margin","4","Demand Signals","demand_signals","demand_signals","What the market is asking for by product route and period, and how much of it is already committed."
"deep","Inventory","Value & Margin","5","Product & SKU Targets","portfolio_targets","plan_products","Portfolio planning: target active SKUs and minimum units per category, gap-checked against live SKU actuals."
"deep","Metrc","Reference Data","1","Reference: Units of Measure","metrc_units_of_measure","metrc_uom","Every unit of measure Metrc recognises, with its abbreviation and quantity type."
"deep","Metrc","Reference Data","2","Reference: Metrc Employees","metrc_employees","metrc_employees","Every employee registered on the Metrc licence, with their state employee licence number."
"deep","Metrc","Reference Data","3","Reference: Item Categories","metrc_item_categories","metrc_item_categories","Every product category Metrc allows, whether it is weight or count based, and whether it requires a strain."
"deep","Metrc","Reference Data","4","Reference: Laboratory Test Types","metrc_lab_test_types","metrc_lab_types","Every laboratory test Metrc defines, and whether each requires a result or is informational only."
"deep","Metrc","Reference Data","5","Reference: Waste Types","metrc_waste_types","metrc_waste_types","Every waste reason code Metrc accepts when recording harvest waste."
"deep","Quality","Testing","3","Testing SLA Matrix","v_testing_sla_matrix","testing_sla","Real laboratory rules by product family and batch-size tier - test type, sample quantity, prep hours, lab, and lead days. Testing & Release scheduling uses the matching lead time so large batches never get promised on unrealistic turnaround. Exact planner-sheet columns."
"deep","Quality","Testing","4","Failed Product — Full Provenance","v_failed_provenance","failed_provenance","Every failed package traced end to end: who made or grew it and under which licence, ours or third party, the source harvest and the date it was cut, the room it dried in, when the package was created, who shipped it and on what manifest, when it was submitted for testing, when the result came back, how long the laboratory took, and when the certificate expires."
"deep","Quality","Testing","5","Failed Product by Maker","v_failed_by_maker","failed_by_maker","Failed product grouped by who made it: packages, pounds, value at cost, strains and categories, and the earliest and latest harvest and creation dates."
"finance","Finance","Cash & Cost","1","Cash & Overhead","cash_snapshots","cash","Weekly cash truth, overhead register, runway."
"finance","Finance","Cash & Cost","2","Invoices & AR","invoices","invoices","Invoices, aging, collections — delivery triggers the cash workflow."
"finance","Finance","Cash & Cost","3","Overhead & Outlook","overhead_items","overhead","Committed overhead, break-even, cash runway — with 280E classification."
"finance","Finance","Cash & Cost","4","Cost Model (per pound)","cost_model","cost_model","The cost to grow a pound, effective dated: total per pound plus the labour, utilities, nutrients and supplies, packaging and overhead components. Change it here and every cost and loss figure in the operating system updates."
"finance","Finance","Cash & Cost","5","True Cost Per Pound","v_true_cost_per_pound","true_cost_per_pound","How cost per pound is actually calculated: month by month, plants harvested, wet pounds, saleable pounds, the wet to saleable conversion, plants per saleable pound and grams per plant. Normal trim waste is already inside the cost per pound figure and is deliberately not charged again."
"finance","Finance","Cash & Cost","6","Harvest Economics","v_harvest_economics","harvest_economics","Per harvest: what it cost to grow, what was lost to waste in dollars, and the true cost per saleable pound after waste and yield are taken into account."
"finance","Finance","Costs & Loss","4","Actual Cost Per Pound — from real payroll","v_actual_cost_per_pound","actual_cost_per_pound","Cost per saleable pound computed from the recorded payroll and recorded overhead divided by the pounds actually packaged, set beside the assumed figure so the gap between them is visible. States exactly which cost lines are missing so a floor is never mistaken for a total."
"finance","Finance","Dashboard","0","Finance Dashboard","v_department_dashboard","dept_dash_sales","The money view: genuine loss, value of stock on hand, and the value locked up in failed and untested product."
"finance","Finance","Loss","1","Cost of Loss","v_cost_of_loss","cost_of_loss","What waste actually costs in dollars by room and strain, and how much of that is excess above the company average - the real price of the worst performing rooms."
"finance","Finance","Loss","2","Real Loss (not trim waste)","v_real_loss","real_loss","What is genuinely lost: plants retired without producing a harvest, harvests that converted far below the company average, packaged product that failed testing, and scheduled pulls that never happened. Routine stem and fan leaf waste is excluded because it is already inside the cost per pound."
"finance","Finance","Loss","3","Real Loss Summary","v_real_loss_summary","real_loss_summary","Each kind of genuine loss with how often it happened, the pounds affected and what that represents at target cost - the number that actually belongs on a profit and loss discussion."
"finance","Finance","Orders & Customers","1","Orders","sales_orders","orders","Firm orders and forecasts — no off-system promises."
"finance","Finance","Orders & Customers","2","Customers","customers","customers","The customer book: licenses, terms, credit limits - with notes (orders, terms, complaints, opportunities) behind each account for the sales director."
"finance","Finance","Orders & Customers","3","Shipping","shipments","shipping","Manifested shipments, OTIF, chain of custody."
"finance","Finance","Orders & Customers","4","Customer History","v_customer_history","customer_history","Every customer: manifests, packages bought, first and last order, days since their last order, and unconfirmed manifests."
"finance","Finance","Orders & Customers","5","Customer Manifests & Documents","v_customer_manifests","customer_manifests","Every manifest sent to a customer with both documents attached: the manifest download link from Metrc and the Certificate of Analysis links for the packages that travelled on it, plus transporter, driver, vehicle, products shipped, and whether the customer confirmed receipt."
"finance","Finance","Planning & Forecast","1","S&OP & Demand","custom screen","sop","The monthly executive plan: demand, production, inventory, revenue, decisions."
"finance","Finance","Planning & Forecast","2","Demand Forecast","demand_forecasts","plan_demand","13-week rolling demand per product family and SKU - units and revenue, feeding S&OP and the production plan."
"finance","Finance","Sales History","1","Sales History (every manifest)","v_sales_history","sales_history","Every outbound manifest as a sale: date, manifest number, customer and their license, packages sent and confirmed received, delivery status, and a link to the manifest in Metrc."
"finance","Finance","Sales History","2","Sales History by Month","v_sales_history_monthly","sales_monthly","Month by month: manifests sent, how many customers, packages sold and confirmed, manifests still unconfirmed, and the customer list."
"hr","Human Resources","Dashboard","0","Human Resources Dashboard","v_department_dashboard","dept_dash_hr","Roster, shifts scheduled, departments and the stock the payroll is carried against. Every tile drills into the records."
"hr","Human Resources","Payroll & Budget","1","Payroll","employee_rates","payroll","Per-employee actual rates rolling up to true labor cost."
"hr","Human Resources","Payroll & Budget","2","Payroll Forecast","v_payroll_forecast","plan_payroll","Forward weekly and annualized labor cost per employee at actual effective-dated rates - identical OT and burden math to actual payroll."
"hr","Human Resources","Payroll & Budget","3","Labor Budgets","labor_budgets","labor_budgets","Weekly budgeted hours and cost per department against actuals from time and attendance at real per-employee rates."
"hr","Human Resources","Payroll & Budget","4","Staffing & Hiring Plan","hiring_plan","plan_hiring","Position plan: seats needed vs filled per role and department, target start dates and rates - the forward staffing picture."
"hr","Human Resources","People","1","Employees","employees","people","Roster, roles, tiers, per-employee rates — effective-dated, audited."
"hr","Human Resources","People","2","Wage Bands & Roles","roles_catalog","wage_bands","Role catalog and planned rates for open seats — per-employee actuals rule."
"hr","Human Resources","Time & Scheduling","1","Scheduling & Zones","employee_schedules","emp_schedule","Per-employee daily schedule: department, zone, shift times, and exception status (late, called out, no-show)."
"hr","Human Resources","Time & Scheduling","2","Work Schedules","v_employee_capacity","work_schedules","Standing work schedule per employee - workweek days, hours, and weekly capacity, with the company default as fallback. Feeds workload planning, the Planner, and payroll targets. Part of each CCC employee file."
"hr","Human Resources","Time & Scheduling","3","Time & Attendance","time_entries","time","Punches, productive hours, OT — feeding real payroll accrual."
"launcher","Workspace","Dashboard","0","Workspace Dashboard","v_department_dashboard","dept_dash_workspace","What is waiting on people: open questions, watchdog findings and go-live items."
"launcher","Workspace","Imported from ClickUp","1","ClickUp Tasks (Imported)","clickup_tasks","clickup_tasks","Every task pulled from the company ClickUp workspace - statuses, assignees, dates, tags, and the complete raw payload."
"launcher","Workspace","Imported from ClickUp","2","ClickUp Lists (Imported)","clickup_lists","clickup_lists","Every space, folder, and list from the company ClickUp workspace."
"launcher","Workspace","People & Spaces","1","Teams","custom screen","teams","The Teams Hub: every department as a living team with real members from the roster, plus custom cross-department teams - assign to tasks, mention, and route work once the Work Layer lands."
"launcher","Workspace","People & Spaces","2","Spaces","spaces","spaces","Work containers, pre-built for TG: one per department plus Company - each with its own pipeline statuses from the workspace preset. Tasks, docs, and boards file into spaces; sharing and required views ride the permissions layer."
"launcher","Workspace","People & Spaces","3","Messages","custom screen","messages","Real-time company chat: channels per department plus general, append-only history, send from anywhere. Threads, reactions, attachments, and DMs grow in with the Work Layer."
"launcher","Workspace","People & Spaces","4","Whiteboards","custom screen","whiteboards","Sketch it out: named boards with pen drawing and sticky notes, private or shared, saved to the database. Live multi-user cursors arrive with the Work Layer."
"launcher","Workspace","Tools","1","Template Center","templates","templates","Only our industry, only our company: 24 cannabis-native templates across Financial, Planning, Inventory, Production, Sales, Marketing, Compliance, and HR - searchable and filterable. Quick Use instantiation into live tasks arrives with the Work Layer."
"launcher","Workspace","Tools","2","Intake Forms","forms","forms","Build simple forms that anyone can fill out from a shared link, and review every answer that comes back."
"launcher","Workspace","Tools","3","Saved Views","saved_views","saved_views","Shared and private saved views that decide which columns, grouping and filters each collection opens with."
"launcher","Workspace","Work","1","Tasks & Boards","custom screen","tasks","Real tasks: statuses, priorities, roster assignees, due dates, tags - grouped by status with one-click advance. Board/calendar views, subtasks, and automations grow in with the Work Layer."
"launcher","Workspace","Work","2","Timeline & Dependencies","v_task_timeline","task_timeline","Shows every task on a timeline with its start date, due date, length in days, the tasks it is waiting on, and a warning when work is blocked or scheduled too early."
"launcher","Workspace","Work","3","Workload & Capacity","v_task_workload","task_workload","Shows how many open tasks each employee has due on each day, how many of those are high priority, and flags any day that is heavy or overloaded."
"launcher","Workspace","Work","4","Recurring Tasks","v_recurring_tasks","recurring_tasks","Tasks that repeat on a schedule, showing how often each one repeats and when the next occurrence is due."
"launcher","Workspace","Work","5","Action Register","actions_register","action_register","The single enterprise list: issues, decisions, commitments — owner and date on everything."
"launcher","Workspace","Work","6","Issue Reports","issue_reports","issues","Staff report anything blocking the floor - equipment down, short-staffed, out of material, running low - with severity tiers, routing to a department or machine, and resolution tracking."
"launcher","Workspace","Work","7","Dashboard Tasks","v_dashboard_tasks","dashboard_tasks","Every task raised from a dashboard tile, carrying the number that triggered it. Shows who it is assigned to, their department, the KPI and its value at the moment it was raised, the due date and whether it is overdue."
"reports","Cultivation","","14","Underperforming Harvests","v_issue_yield_by_harvest","issue_yield_by_harvest","Every harvest that converted below par with its harvest date, finish date, dry days, days since harvest, plants, wet saleable and waste pounds, conversion against company and industry averages, and what the shortfall cost."
"reports","Cultivation","","15","Drying Room Best vs Worst","v_room_best_vs_worst","room_best_vs_worst","The fix report: for every room, its best month against its worst - conversion, grams per plant, dry days and the spread - with what that gap has cost. If a room already hit a number once, it can hit it again."
"reports","Cultivation","","16","Drying Room by Month","v_room_month_comparison","room_month_comparison","Every room every month: conversion, grams per plant, average dry days, whether it was that room best or worst month, how far from the room average, and what the gap versus its own best cost in pounds and dollars."
"reports","Cultivation","","18","Late Pulls & Dries","v_issue_late","issue_late","Only the schedule violations: what ran late, by how many days, what is wrong and what to do about it."
"reports","Cultivation","","19","Yield Gap","v_issue_yield_gap","issue_yield_gap","Only the months that converted below your own best: how many points below, pounds lost against that benchmark, what it cost, what is wrong and what to do."
"reports","Finance","","11","Unconfirmed Manifests","v_issue_unconfirmed_manifests","issue_unconfirmed_manifests","Only the outbound manifests the receiver never confirmed, oldest first, each with a link to the manifest and what to do."
"reports","Finance","","12","Loss Register","v_issue_real_loss","issue_real_loss","Every genuine loss item on its own line with harvest date, room, days since takedown, pounds, dollars at cost, what is wrong and what to check."
"reports","Inventory","","11","Aging Stock","v_issue_aging","issue_aging","Only the stock that has aged past policy, worst first, with what is wrong and when to act."
"reports","Inventory","","12","Awaiting Allocation","v_issue_no_allocation","issue_no_allocation","Only the material sitting with no approved allocation, longest first, with what is wrong and what to do."
"reports","Metrc","","3","Report: Plant Census","v_metrc_plant_census","metrc_rpt_plants","Live plant counts by room and growth phase per license - the daily census, straight from state data."
"reports","Metrc","","4","Report: Strain Census","v_metrc_strain_census","metrc_rpt_strains","Every strain with veg/flower/hold/inactive splits and room spread."
"reports","Metrc","","5","Report: Package Inventory","v_metrc_package_inventory","metrc_rpt_packages","Active package inventory by item, location, and lab state with quantities - what the state believes you hold."
"reports","Metrc","","6","Report: Lab Testing Status","v_metrc_lab_status","metrc_rpt_lab","Packages grouped by lab testing state per license - what is cleared, pending, or failed."
"reports","Metrc","","7","Report: Transfer Ledger","v_metrc_transfer_ledger","metrc_rpt_transfers","Manifests by month and direction with shipper/recipient counts - the wholesale movement record."
